Federated_Learning | INFO flwr 2024-04-29 14:00:21,553 | server.py:111 | [ROUND 10]
Federated_Learning | INFO flwr 2024-04-29 14:00:21,554 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:01:27,745 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:01:27,747 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:01:39,846 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:01:39,846 | server.py:59 | {'accuracy': 0.42761447710457906, 'loss': 164.94527701536813}
Federated_Learning | INFO flwr 2024-04-29 14:01:39,846 | strategy.py:293 | There was a delay of 78.293813 seconds for round 10
Federated_Learning | INFO flwr 2024-04-29 14:01:39,847 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:01:39,847 | server.py:111 | [ROUND 11]
Federated_Learning | INFO flwr 2024-04-29 14:01:39,848 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:02:56,987 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:02:56,989 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:03:07,654 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:03:07,655 | server.py:59 | {'accuracy': 0.4346130773845231, 'loss': 161.81834634145102}
Federated_Learning | INFO flwr 2024-04-29 14:03:07,655 | strategy.py:293 | There was a delay of 87.807677 seconds for round 11
Federated_Learning | INFO flwr 2024-04-29 14:03:07,655 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:03:07,656 | server.py:111 | [ROUND 12]
Federated_Learning | INFO flwr 2024-04-29 14:03:07,656 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
